epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8896,1.22783,2.55622,1.45798,0.77896,0.61664,0.66978,0.48611,0.96412,1.19331,1.29079,0.000367056,0.000367056,0.000367056
2,25.07,1.12903,1.43265,1.32645,0.52559,0.57528,0.59093,0.41025,1.20587,1.52338,1.53063,0.000730089,0.000730089,0.000730089
3,37.1957,1.08641,1.19849,1.27202,0.81133,0.60781,0.69985,0.51346,1.0371,1.06922,1.32368,0.00108579,0.00108579,0.00108579
4,49.3879,1.09178,1.1733,1.28015,0.55792,0.74263,0.73417,0.5293,1.01758,0.9681,1.32705,0.001078,0.001078,0.001078
5,61.5901,1.08111,1.09949,1.26617,0.80158,0.60909,0.73589,0.53768,1.01528,1.01998,1.3576,0.001067,0.001067,0.001067
6,73.8196,1.05591,0.97248,1.24108,0.70423,0.80624,0.78841,0.60564,0.88664,0.70233,1.19871,0.00105601,0.00105601,0.00105601
7,86.0961,1.02501,0.98683,1.22164,0.66326,0.88702,0.86019,0.68186,0.89912,0.6923,1.20635,0.00104501,0.00104501,0.00104501
8,98.3357,1.01735,0.92338,1.21888,0.68304,0.756,0.81273,0.62265,0.9462,0.66656,1.22622,0.00103401,0.00103401,0.00103401
9,110.55,1.00886,0.93888,1.21767,0.59431,0.69604,0.72816,0.56036,0.92807,0.74891,1.21677,0.00102301,0.00102301,0.00102301
10,122.763,1.00997,0.91101,1.21765,0.77934,0.74504,0.84224,0.66826,0.89123,0.65181,1.19213,0.00101201,0.00101201,0.00101201
11,135.02,0.97267,0.83111,1.19547,0.76246,0.74626,0.78071,0.60031,0.89789,0.68028,1.18127,0.00100101,0.00100101,0.00100101
12,147.273,0.98223,0.86007,1.19866,0.80993,0.8099,0.90612,0.71902,0.8857,0.63729,1.1886,0.000990012,0.000990012,0.000990012
13,159.559,0.97075,0.82677,1.18829,0.76895,0.90672,0.85529,0.65789,0.95162,0.6041,1.24194,0.000979013,0.000979013,0.000979013
14,171.839,0.97559,0.82752,1.20648,0.74021,0.75891,0.80249,0.63004,0.89672,0.65049,1.18485,0.000968014,0.000968014,0.000968014
15,184.119,0.98117,0.81553,1.18419,0.81325,0.83978,0.90864,0.72694,0.87917,0.56417,1.18372,0.000957015,0.000957015,0.000957015
16,196.408,0.99206,0.7974,1.21002,0.80549,0.76683,0.83555,0.67879,0.84611,0.67055,1.15692,0.000946016,0.000946016,0.000946016
17,208.744,0.93558,0.74777,1.17297,0.76374,0.80353,0.84088,0.65084,0.92839,0.65792,1.20646,0.000935018,0.000935018,0.000935018
18,221.003,0.94182,0.77651,1.17335,0.674,0.77208,0.80217,0.63241,0.87411,0.61948,1.1635,0.000924019,0.000924019,0.000924019
19,233.278,0.87892,0.71502,1.13019,0.9008,0.77854,0.8659,0.67405,0.90962,0.5659,1.17401,0.00091302,0.00091302,0.00091302
20,245.561,0.90268,0.72395,1.15069,0.90609,0.87359,0.9373,0.75091,0.84169,0.5632,1.14939,0.000902021,0.000902021,0.000902021
21,257.876,0.91798,0.74284,1.15275,0.87434,0.86177,0.928,0.75177,0.87026,0.52344,1.17719,0.000891022,0.000891022,0.000891022
22,270.225,0.8932,0.70447,1.14209,0.81663,0.88289,0.91795,0.75845,0.82286,0.54685,1.13944,0.000880023,0.000880023,0.000880023
23,282.567,0.91126,0.6888,1.15209,0.93956,0.80379,0.89973,0.71684,0.88514,0.52957,1.16565,0.000869024,0.000869024,0.000869024
24,294.858,0.92773,0.70376,1.16125,0.85718,0.85789,0.93509,0.75519,0.84726,0.53918,1.16797,0.000858025,0.000858025,0.000858025
25,307.183,0.90459,0.69386,1.1667,0.86084,0.80732,0.87523,0.71396,0.85158,0.59909,1.15844,0.000847026,0.000847026,0.000847026
26,319.52,0.90426,0.69369,1.14307,0.88316,0.85166,0.91405,0.75835,0.818,0.55604,1.1364,0.000836027,0.000836027,0.000836027
27,331.857,0.86411,0.63161,1.13151,0.8403,0.87494,0.91154,0.74332,0.84367,0.53784,1.15273,0.000825029,0.000825029,0.000825029
28,344.169,0.89119,0.63693,1.14189,0.88931,0.8683,0.94375,0.77144,0.83546,0.46294,1.13775,0.00081403,0.00081403,0.00081403
29,356.515,0.86949,0.64866,1.12538,0.85236,0.83794,0.90988,0.74588,0.84493,0.52664,1.14323,0.000803031,0.000803031,0.000803031
