epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.812,1.22783,2.55622,1.45798,0.77896,0.61664,0.66978,0.48611,0.96412,1.19331,1.29079,0.000367056,0.000367056,0.000367056
2,25.0159,1.11656,1.46574,1.32161,0.34971,0.5374,0.48224,0.344,1.04882,1.96544,1.42786,0.000733739,0.000733739,0.000733739
3,37.1514,1.08021,1.22226,1.27064,0.83255,0.58825,0.68721,0.50215,1.09289,0.99518,1.37439,0.00109676,0.00109676,0.00109676
4,49.3507,1.11451,1.22872,1.28836,0.7917,0.42313,0.47653,0.33432,1.0637,2.44391,1.38444,0.0010945,0.0010945,0.0010945
5,61.5407,1.08831,1.15204,1.27914,0.90786,0.62694,0.77406,0.54789,1.00956,0.84782,1.28724,0.001089,0.001089,0.001089
6,73.7714,1.05951,1.05192,1.24223,0.59887,0.67404,0.72068,0.52982,1.00498,0.8308,1.2998,0.0010835,0.0010835,0.0010835
7,86.0628,1.03087,0.9748,1.22631,0.90119,0.65147,0.75885,0.57796,0.95496,0.79476,1.24375,0.001078,0.001078,0.001078
8,98.3402,1.0185,0.95364,1.2217,0.69008,0.76617,0.76671,0.58073,0.93162,0.76795,1.22695,0.0010725,0.0010725,0.0010725
9,110.611,1.01615,0.93187,1.21673,0.81179,0.78351,0.84408,0.64679,0.97019,0.72205,1.2694,0.001067,0.001067,0.001067
10,122.912,1.02728,0.89471,1.22141,0.73286,0.70702,0.80492,0.60442,0.99494,0.71633,1.28963,0.0010615,0.0010615,0.0010615
11,135.145,0.99583,0.83918,1.21378,0.78286,0.70964,0.80355,0.60848,0.97486,0.73161,1.26035,0.00105601,0.00105601,0.00105601
12,147.407,0.98565,0.86392,1.20188,0.68183,0.79259,0.80783,0.63305,0.89594,0.76248,1.20058,0.00105051,0.00105051,0.00105051
13,159.674,0.9739,0.84346,1.18688,0.74938,0.78678,0.81748,0.63774,0.88318,0.61666,1.18548,0.00104501,0.00104501,0.00104501
14,171.914,0.98737,0.83889,1.21739,0.72978,0.78071,0.82584,0.63534,0.93358,0.66576,1.22294,0.00103951,0.00103951,0.00103951
15,184.194,0.98559,0.8499,1.18994,0.71581,0.81741,0.82036,0.64236,0.89069,0.65542,1.18655,0.00103401,0.00103401,0.00103401
16,196.52,1.0004,0.81805,1.2105,0.88548,0.85171,0.92161,0.7486,0.86224,0.54469,1.17655,0.00102851,0.00102851,0.00102851
17,208.827,0.95754,0.78149,1.1766,0.90441,0.8716,0.94379,0.74596,0.89193,0.55195,1.18263,0.00102301,0.00102301,0.00102301
18,221.089,0.95488,0.7992,1.18097,0.82908,0.79957,0.88907,0.69982,0.89297,0.58258,1.1908,0.00101751,0.00101751,0.00101751
19,233.35,0.89748,0.70696,1.141,0.87271,0.84894,0.90211,0.68786,0.95176,0.57436,1.22102,0.00101201,0.00101201,0.00101201
20,245.619,0.90641,0.72855,1.15767,0.83565,0.83475,0.92794,0.73967,0.85991,0.53148,1.16953,0.00100651,0.00100651,0.00100651
21,257.914,0.9171,0.75992,1.15482,0.9182,0.85676,0.91586,0.74059,0.83917,0.52439,1.15231,0.00100101,0.00100101,0.00100101
22,270.188,0.90684,0.71557,1.14663,0.9013,0.82831,0.92598,0.73945,0.89505,0.54455,1.19168,0.000995512,0.000995512,0.000995512
23,282.49,0.92461,0.70513,1.1542,0.72313,0.76295,0.80098,0.62726,0.86983,0.65867,1.16012,0.000990012,0.000990012,0.000990012
24,294.796,0.93456,0.70061,1.15911,0.83507,0.85151,0.91591,0.75038,0.83763,0.56047,1.14712,0.000984513,0.000984513,0.000984513
25,307.183,0.90783,0.70254,1.16145,0.90322,0.66341,0.74129,0.58305,0.85711,0.83687,1.16019,0.000979013,0.000979013,0.000979013
26,319.462,0.9064,0.70639,1.14335,0.92129,0.8587,0.94403,0.77043,0.83395,0.50481,1.1416,0.000973514,0.000973514,0.000973514
27,331.788,0.87842,0.6794,1.13822,0.88823,0.8589,0.92353,0.73105,0.93859,0.54893,1.24498,0.000968014,0.000968014,0.000968014
28,344.068,0.87982,0.65273,1.136,0.86068,0.82629,0.90935,0.72764,0.87569,0.57256,1.19011,0.000962515,0.000962515,0.000962515
29,356.354,0.88967,0.6602,1.13492,0.90159,0.86244,0.94508,0.78635,0.80631,0.51276,1.12017,0.000957015,0.000957015,0.000957015
30,368.689,0.88263,0.65954,1.13557,0.91751,0.92421,0.95118,0.78072,0.84838,0.49355,1.16482,0.000951516,0.000951516,0.000951516
31,381.025,0.89386,0.66113,1.13765,0.93178,0.87303,0.93598,0.76256,0.84788,0.52667,1.15415,0.000946016,0.000946016,0.000946016
32,393.311,0.88957,0.65889,1.1496,0.91694,0.92273,0.96616,0.77706,0.84927,0.4671,1.14955,0.000940517,0.000940517,0.000940517
33,405.584,0.86641,0.60573,1.12244,0.9296,0.8837,0.92024,0.75772,0.85193,0.50334,1.15597,0.000935018,0.000935018,0.000935018
34,417.889,0.87906,0.63904,1.13379,0.92634,0.88656,0.94968,0.77236,0.84555,0.48049,1.13434,0.000929518,0.000929518,0.000929518
35,430.247,0.89175,0.66151,1.13741,0.91772,0.8454,0.92859,0.73935,0.92368,0.54571,1.21085,0.000924019,0.000924019,0.000924019
36,442.526,0.85554,0.60764,1.12073,0.86044,0.7445,0.82245,0.63931,0.93195,0.60651,1.23943,0.000918519,0.000918519,0.000918519
37,454.837,0.87674,0.63135,1.13096,0.93381,0.85389,0.95422,0.78705,0.8304,0.48976,1.13294,0.00091302,0.00091302,0.00091302
38,467.169,0.83777,0.59713,1.10602,0.90843,0.86834,0.93979,0.77784,0.79741,0.45896,1.12142,0.00090752,0.00090752,0.00090752
39,479.497,0.86762,0.6176,1.13692,0.95211,0.86958,0.93269,0.77508,0.82843,0.51965,1.1412,0.000902021,0.000902021,0.000902021
40,491.803,0.83083,0.59128,1.09601,0.90188,0.90468,0.94853,0.79063,0.82007,0.46537,1.13939,0.000896521,0.000896521,0.000896521
