epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9013,1.22783,2.55622,1.45798,0.77896,0.61664,0.66978,0.48611,0.96412,1.19331,1.29079,0.000367056,0.000367056,0.000367056
2,25.0789,1.12664,1.45755,1.32715,0.497,0.66894,0.6095,0.44725,1.02,1.3439,1.36505,0.000722789,0.000722789,0.000722789
3,37.205,1.08624,1.20644,1.26624,0.8803,0.62643,0.78426,0.5973,0.99288,0.94776,1.29044,0.00106386,0.00106386,0.00106386
4,49.3468,1.10536,1.17392,1.28167,0.51814,0.63004,0.65343,0.48483,1.01124,1.23002,1.3368,0.00104501,0.00104501,0.00104501
5,61.4984,1.05711,1.10924,1.25046,0.86991,0.67537,0.82418,0.61539,0.99533,0.78587,1.26792,0.00102301,0.00102301,0.00102301
6,73.7064,1.05178,0.99601,1.24169,0.68979,0.71266,0.74384,0.56826,0.94472,0.78274,1.25396,0.00100101,0.00100101,0.00100101
7,85.9222,1.03558,0.9992,1.22945,0.76075,0.8235,0.86967,0.6727,0.9647,0.6986,1.25277,0.000979013,0.000979013,0.000979013
8,98.1536,1.02217,0.95485,1.22585,0.63864,0.7068,0.73291,0.56792,0.92544,0.90079,1.22458,0.000957015,0.000957015,0.000957015
9,110.365,0.99854,0.88747,1.21215,0.70976,0.85552,0.83505,0.64685,0.94334,0.67531,1.22475,0.000935018,0.000935018,0.000935018
10,122.589,1.00434,0.88994,1.20451,0.83274,0.79517,0.85216,0.66884,0.90235,0.62614,1.20353,0.00091302,0.00091302,0.00091302
11,134.791,0.96331,0.8238,1.19896,0.62631,0.70211,0.72615,0.53418,0.95575,0.74582,1.23824,0.000891022,0.000891022,0.000891022
12,147.059,0.95968,0.85496,1.18399,0.73104,0.82628,0.84786,0.65642,0.89619,0.6702,1.20395,0.000869024,0.000869024,0.000869024
13,159.286,0.93975,0.8113,1.16668,0.74678,0.81046,0.85549,0.66969,0.9111,0.58111,1.19999,0.000847026,0.000847026,0.000847026
14,171.543,0.96117,0.81972,1.20406,0.78352,0.81653,0.90613,0.73518,0.86296,0.67234,1.16849,0.000825029,0.000825029,0.000825029
15,183.804,0.95818,0.79891,1.17471,0.88655,0.8365,0.91236,0.7333,0.85925,0.55135,1.16775,0.000803031,0.000803031,0.000803031
16,196.071,0.96923,0.77473,1.2029,0.88579,0.8728,0.94324,0.76077,0.89192,0.5975,1.18808,0.000781033,0.000781033,0.000781033
17,208.494,0.92032,0.73128,1.15862,0.96562,0.83366,0.93473,0.73976,0.88679,0.54156,1.17356,0.000759035,0.000759035,0.000759035
18,220.782,0.9397,0.7566,1.17236,0.91434,0.89092,0.94641,0.75447,0.87518,0.54345,1.16618,0.000737037,0.000737037,0.000737037
19,233.045,0.85697,0.66414,1.122,0.90252,0.88901,0.95543,0.76902,0.85365,0.51703,1.14522,0.00071504,0.00071504,0.00071504
20,245.352,0.87079,0.65537,1.13056,0.92445,0.86835,0.94307,0.75355,0.85287,0.55182,1.15205,0.000693042,0.000693042,0.000693042
21,257.682,0.88496,0.67099,1.13621,0.93377,0.85318,0.93987,0.756,0.83746,0.49112,1.1446,0.000671044,0.000671044,0.000671044
22,269.945,0.87424,0.67232,1.13299,0.89642,0.84545,0.9332,0.77111,0.82178,0.49945,1.13195,0.000649046,0.000649046,0.000649046
23,282.256,0.88063,0.65644,1.13504,0.8849,0.92199,0.95505,0.75538,0.86899,0.49065,1.15614,0.000627048,0.000627048,0.000627048
24,294.517,0.89722,0.65017,1.14253,0.93114,0.87085,0.94691,0.763,0.85481,0.47383,1.16612,0.000605051,0.000605051,0.000605051
25,306.833,0.87925,0.64342,1.15178,0.88882,0.82757,0.92566,0.74432,0.86385,0.50795,1.15417,0.000583053,0.000583053,0.000583053
26,319.172,0.86314,0.64689,1.12095,0.82954,0.9054,0.93698,0.76687,0.84237,0.49859,1.1377,0.000561055,0.000561055,0.000561055
27,331.471,0.83642,0.61456,1.11631,0.91683,0.82917,0.93175,0.75592,0.83412,0.51034,1.12974,0.000539057,0.000539057,0.000539057
28,343.735,0.84719,0.60287,1.12199,0.88611,0.91258,0.94917,0.76126,0.85738,0.48883,1.15039,0.000517059,0.000517059,0.000517059
29,356.014,0.83334,0.58157,1.11113,0.93772,0.88859,0.94849,0.78875,0.80633,0.45138,1.11824,0.000495062,0.000495062,0.000495062
30,368.389,0.83467,0.58451,1.10983,0.92546,0.91136,0.95375,0.79195,0.81018,0.44351,1.12525,0.000473064,0.000473064,0.000473064
31,380.723,0.83287,0.57411,1.10358,0.94823,0.88122,0.9286,0.75469,0.83298,0.48226,1.13401,0.000451066,0.000451066,0.000451066
32,393.011,0.82653,0.57131,1.11473,0.93286,0.9062,0.96393,0.78181,0.83136,0.45444,1.13661,0.000429068,0.000429068,0.000429068
33,405.302,0.79982,0.52614,1.09242,0.94223,0.87246,0.94847,0.7642,0.84594,0.45988,1.13603,0.00040707,0.00040707,0.00040707
34,417.619,0.82019,0.54011,1.10095,0.94992,0.89737,0.95806,0.79642,0.81946,0.4266,1.11825,0.000385073,0.000385073,0.000385073
35,430.041,0.82217,0.55552,1.09887,0.91896,0.90064,0.95762,0.79874,0.78805,0.42115,1.1086,0.000363075,0.000363075,0.000363075
36,442.396,0.78984,0.5107,1.08619,0.93425,0.87651,0.93824,0.78108,0.79981,0.43148,1.11481,0.000341077,0.000341077,0.000341077
37,454.786,0.79993,0.51565,1.09574,0.91928,0.88892,0.94109,0.7869,0.80391,0.44711,1.11186,0.000319079,0.000319079,0.000319079
38,467.136,0.76864,0.49728,1.07366,0.92815,0.89363,0.94589,0.79199,0.80483,0.42789,1.11702,0.000297081,0.000297081,0.000297081
39,479.482,0.78053,0.49874,1.09748,0.92532,0.9003,0.94265,0.78891,0.79653,0.43456,1.1054,0.000275084,0.000275084,0.000275084
40,491.777,0.7523,0.49785,1.06067,0.89687,0.89393,0.95173,0.79682,0.79304,0.42437,1.11167,0.000253086,0.000253086,0.000253086
41,504.487,0.69943,0.38568,1.06335,0.91549,0.89083,0.94194,0.78778,0.79199,0.42472,1.10891,0.000231088,0.000231088,0.000231088
42,516.778,0.68743,0.3602,1.06007,0.93023,0.88404,0.95125,0.79272,0.80268,0.42795,1.12246,0.00020909,0.00020909,0.00020909
43,529.06,0.68327,0.35801,1.04689,0.9342,0.91162,0.95932,0.8034,0.79483,0.4037,1.12012,0.000187092,0.000187092,0.000187092
44,541.349,0.67431,0.34456,1.05187,0.89888,0.91775,0.96004,0.81358,0.79488,0.41408,1.11479,0.000165095,0.000165095,0.000165095
45,553.657,0.65832,0.33067,1.02813,0.91519,0.91727,0.96187,0.81165,0.79125,0.41314,1.11983,0.000143097,0.000143097,0.000143097
46,566.012,0.64769,0.32018,1.02571,0.89377,0.89973,0.95353,0.81074,0.78296,0.4313,1.10636,0.000121099,0.000121099,0.000121099
47,578.292,0.65421,0.32652,1.04347,0.93108,0.88828,0.95882,0.81275,0.78443,0.42526,1.10642,9.91012e-05,9.91012e-05,9.91012e-05
48,590.559,0.62996,0.30871,1.01506,0.89738,0.90072,0.96258,0.81718,0.78908,0.41357,1.11004,7.71034e-05,7.71034e-05,7.71034e-05
49,602.87,0.61693,0.31265,1.01411,0.92665,0.89263,0.96088,0.81388,0.78857,0.41224,1.11346,5.51056e-05,5.51056e-05,5.51056e-05
50,615.134,0.60761,0.29023,1.00462,0.92631,0.8848,0.95968,0.81251,0.78806,0.41519,1.11633,3.31078e-05,3.31078e-05,3.31078e-05
