epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8756,1.25862,2.55478,1.45369,0.72148,0.39191,0.46623,0.30004,1.25474,1.82145,1.45128,0.0672842,3.27485e-05,3.27485e-05
2,27.1802,1.04118,1.15936,1.22756,0.66121,0.82189,0.77725,0.61262,0.91559,0.74471,1.19897,0.0339839,6.57548e-05,6.57548e-05
3,39.6844,0.94528,0.96038,1.14689,0.74969,0.78568,0.81684,0.64554,0.89365,0.68434,1.18865,0.000683226,9.8431e-05,9.8431e-05
4,52.2231,0.92934,0.88021,1.16174,0.81198,0.79413,0.84875,0.68014,0.84286,0.64665,1.15508,9.8515e-05,9.8515e-05,9.8515e-05
5,64.7778,0.91498,0.82237,1.15292,0.69742,0.80798,0.79211,0.62169,0.85425,0.60067,1.15916,9.802e-05,9.802e-05,9.802e-05
6,77.3291,0.88969,0.73742,1.1389,0.84796,0.83354,0.87919,0.69417,0.87928,0.54872,1.18239,9.7525e-05,9.7525e-05,9.7525e-05
7,89.9149,0.85524,0.71033,1.11543,0.82522,0.81668,0.90596,0.73834,0.83683,0.59341,1.14446,9.703e-05,9.703e-05,9.703e-05
8,102.517,0.8624,0.67622,1.11455,0.86399,0.84759,0.92489,0.74305,0.86785,0.51761,1.17939,9.6535e-05,9.6535e-05,9.6535e-05
9,115.142,0.86361,0.64578,1.12027,0.88555,0.78588,0.897,0.71874,0.85427,0.54002,1.14615,9.604e-05,9.604e-05,9.604e-05
10,127.772,0.83948,0.65184,1.11324,0.90836,0.87175,0.91407,0.7455,0.82622,0.50406,1.13519,9.5545e-05,9.5545e-05,9.5545e-05
11,140.407,0.82777,0.64018,1.11234,0.9339,0.90067,0.9565,0.80103,0.80644,0.45832,1.11567,9.505e-05,9.505e-05,9.505e-05
12,153.067,0.82066,0.58852,1.10138,0.89902,0.89194,0.94692,0.79625,0.80464,0.46696,1.114,9.4555e-05,9.4555e-05,9.4555e-05
13,165.69,0.81164,0.59227,1.08735,0.93898,0.84714,0.95262,0.7898,0.81976,0.4893,1.13534,9.406e-05,9.406e-05,9.406e-05
14,178.334,0.79667,0.56389,1.08911,0.91021,0.85776,0.93755,0.78464,0.8293,0.4986,1.13733,9.3565e-05,9.3565e-05,9.3565e-05
15,190.965,0.82693,0.57122,1.10037,0.91083,0.95299,0.97046,0.80838,0.81352,0.44605,1.12717,9.307e-05,9.307e-05,9.307e-05
16,203.64,0.81331,0.55947,1.09979,0.96452,0.89365,0.96266,0.79226,0.83497,0.45989,1.15136,9.2575e-05,9.2575e-05,9.2575e-05
17,216.296,0.79082,0.53794,1.0926,0.93153,0.93454,0.96785,0.80817,0.82001,0.42709,1.14377,9.208e-05,9.208e-05,9.208e-05
18,228.964,0.79728,0.52648,1.08944,0.92221,0.93725,0.96644,0.80836,0.82836,0.43858,1.1283,9.1585e-05,9.1585e-05,9.1585e-05
19,241.612,0.75862,0.50322,1.06309,0.93125,0.92443,0.96762,0.82234,0.80183,0.44198,1.11416,9.109e-05,9.109e-05,9.109e-05
20,254.309,0.77983,0.51501,1.07696,0.93252,0.90671,0.9577,0.8071,0.82646,0.45375,1.12847,9.0595e-05,9.0595e-05,9.0595e-05
21,266.981,0.77486,0.50578,1.06688,0.93284,0.90088,0.96563,0.80679,0.81093,0.45081,1.14177,9.01e-05,9.01e-05,9.01e-05
22,279.646,0.77096,0.48999,1.07286,0.92412,0.89415,0.9657,0.81394,0.81502,0.4456,1.13094,8.9605e-05,8.9605e-05,8.9605e-05
