epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8668,1.26186,2.2046,1.47936,0.61194,0.58429,0.54983,0.4036,1.02987,1.23509,1.33843,0.067292,0.000330383,0.000330383
2,25.037,1.12261,1.34148,1.31138,0.70967,0.61889,0.68169,0.50168,1.11254,1.03046,1.47086,0.0342888,0.000660431,0.000660431
3,37.2078,1.06537,1.14908,1.26061,0.86049,0.49432,0.61002,0.41483,1.12744,1.23019,1.39599,0.00128216,0.000987179,0.000987179
4,49.5645,1.0665,1.13928,1.2688,0.49288,0.81953,0.6674,0.4919,1.02294,1.27361,1.30557,0.00098515,0.00098515,0.00098515
5,61.7768,1.05753,1.12528,1.26504,0.92061,0.52745,0.69441,0.50126,0.98869,0.99755,1.28224,0.0009802,0.0009802,0.0009802
6,74.0187,1.03222,0.99439,1.23787,0.70447,0.84012,0.81116,0.62919,0.9,0.77083,1.21819,0.00097525,0.00097525,0.00097525
7,86.4537,1.00739,0.98193,1.2116,0.64157,0.76686,0.77624,0.60174,0.92438,0.77096,1.21443,0.0009703,0.0009703,0.0009703
8,98.7494,1.01481,0.93374,1.21466,0.77103,0.72856,0.81385,0.5837,1.03362,0.77511,1.30583,0.00096535,0.00096535,0.00096535
9,110.974,1.01744,0.92164,1.21742,0.71107,0.91798,0.84657,0.66603,0.90168,0.66028,1.20054,0.0009604,0.0009604,0.0009604
10,123.258,1.00865,0.91483,1.2155,0.69669,0.81178,0.84585,0.66739,0.88749,0.68628,1.1864,0.00095545,0.00095545,0.00095545
11,135.549,0.97099,0.84736,1.19818,0.6905,0.84141,0.84154,0.65437,0.93234,0.69247,1.23197,0.0009505,0.0009505,0.0009505
12,147.774,0.97667,0.89222,1.19434,0.85687,0.83544,0.92401,0.73712,0.85602,0.62345,1.17238,0.00094555,0.00094555,0.00094555
13,160.068,0.93673,0.85376,1.17074,0.77614,0.82015,0.86885,0.69131,0.88462,0.62685,1.1829,0.0009406,0.0009406,0.0009406
